url,photo_list,title,current_bid,shipping_cost,user_name,user_rating
https://www.ebay.com/itm/PRIM-gelb-cal-66-3-rare-vintage-Tschechoslowakei-Uhren-vintage-watch-um-1960/352844288008?hash=item5227289008%3Ag%3AiYUAAOSwb2xdEJhm&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/iYUAAOSwb2xdEJhm/s-l1600.jpg,https://i.ebayimg.com/images/g/zo4AAOSwRitdEJhp/s-l1600.jpg,https://i.ebayimg.com/images/g/QWcAAOSw2QtdEJhw/s-l1600.jpg,https://i.ebayimg.com/images/g/xH0AAOSwcuZdEJh0/s-l1600.jpg,https://i.ebayimg.com/images/g/eUMAAOSwRPBdEJh2/s-l1600.jpg,https://i.ebayimg.com/images/g/7wcAAOSwTaxdEJh4/s-l1600.jpg,https://i.ebayimg.com/images/g/h0AAAOSwje5dEJh7/s-l1600.jpg",prim gelb cal. 66 3 - rare vintage tschechoslowak,5.0,5.00,adno26,110
https://www.ebay.com/itm/Orologio-vintage-Yves-Saint-Laurant-funzionante-placcato-oro/184023759681?hash=item2ad8abbb41%3Ag%3APOoAAOSwDoNdk1x5&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/POoAAOSwDoNdk1x5/s-l1600.jpg,https://i.ebayimg.com/images/g/eBkAAOSwnhpdk1x6/s-l1600.jpg,https://i.ebayimg.com/images/g/TrkAAOSwqZNdk1x9/s-l1600.jpg,https://i.ebayimg.com/images/g/v5cAAOSwHv1dk1x9/s-l1600.jpg,https://i.ebayimg.com/images/g/DbMAAOSwNq9dk1yA/s-l1600.jpg,https://i.ebayimg.com/images/g/CXQAAOSwUHldk1yC/s-l1600.jpg,https://i.ebayimg.com/images/g/V9gAAOSwBsldk1zH/s-l1600.jpg,https://i.ebayimg.com/images/g/YUQAAOSwvyBdk1zN/s-l1600.jpg,https://i.ebayimg.com/images/g/pyEAAOSwu1Fdk1zT/s-l1600.jpg,https://i.ebayimg.com/images/g/T3MAAOSwHt9dk1z6/s-l1600.jpg",orologio vintage yves saint laurant funzionante placcato oro.,180.0,30.00,missdarklily,45
https://www.ebay.com/itm/orologio-diver-quarzo-vintage-no-prezzo-di-riserva/303349908892?hash=item46a110459c%3Ag%3AtFgAAOSwIxhc5ngV&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/tFgAAOSwIxhc5ngV/s-l1600.jpg,https://i.ebayimg.com/images/g/-EYAAOSwD2Bc5ngZ/s-l1600.jpg",orologio diver quarzo vintage no prezzo di riserva,9.0,20.00,tuttologo778,262
https://www.ebay.com/itm/PRIM-cal-TYP-011-rare-vintage-Tschechoslowakei-Uhren-vintage-watch-um-1950/352844286252?hash=item522728892c%3Ag%3AR1AAAOSw6XBdCer9&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/R1AAAOSw6XBdCer9/s-l1600.jpg,https://i.ebayimg.com/images/g/BLUAAOSwfdxdCer2/s-l1600.jpg,https://i.ebayimg.com/images/g/OdEAAOSwPdhdCer4/s-l1600.jpg,https://i.ebayimg.com/images/g/7YYAAOSwvdxdCesD/s-l1600.jpg,https://i.ebayimg.com/images/g/Cm8AAOSw9s9dCesK/s-l1600.jpg",prim cal. typ 011 - rare vintage tschechoslowak,5.0,5.00,adno26,110
https://www.ebay.com/itm/M-WATCH-Cal-ETA-450-111-rare-vintage-SWISS-Uhren-vintage-watch-um-1980/352844285946?hash=item52272887fa%3Ag%3Am9IAAOSwNHBdCQwg&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/m9IAAOSwNHBdCQwg/s-l1600.jpg,https://i.ebayimg.com/images/g/ZWoAAOSwhkJdCQwj/s-l1600.jpg,https://i.ebayimg.com/images/g/vBwAAOSwydNdCQwp/s-l1600.jpg,https://i.ebayimg.com/images/g/8MwAAOSw6uVdCQww/s-l1600.jpg,https://i.ebayimg.com/images/g/XlkAAOSw8oFdCQxK/s-l1600.jpg",m watch cal. eta 450 111 - rare vintage swiss uhren - vintage watch um 1980,5.0,5.00,adno26,110
https://www.ebay.com/itm/GLASHUTTE-rare-vintage-Deutschland-Uhren-vintage-watch/352844284721?hash=item5227288331%3Ag%3AwqsAAOSw-DRdCflS&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/wqsAAOSw-DRdCflS/s-l1600.jpg,https://i.ebayimg.com/images/g/howAAOSwYd1dCflV/s-l1600.jpg,https://i.ebayimg.com/images/g/67UAAOSwRitdCflX/s-l1600.jpg,https://i.ebayimg.com/images/g/dwUAAOSwd7RdCflZ/s-l1600.jpg",glashãtte - rare vintage deutschland uhren - vintage watch !,5.0,5.00,adno26,110
https://www.ebay.com/itm/PRIM-rare-vintage-Tschechoslowakei-Uhren-vintage-watch-um-1960/352844282515?hash=item5227287a93%3Ag%3A%7EDIAAOSwS2hdDIe%7E&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/~DIAAOSwS2hdDIe~/s-l1600.jpg,https://i.ebayimg.com/images/g/QT8AAOSwWnpdDIfC/s-l1600.jpg,https://i.ebayimg.com/images/g/wAcAAOSwzIJdDIfF/s-l1600.jpg,https://i.ebayimg.com/images/g/FgsAAOSwBRFdDIfJ/s-l1600.jpg,https://i.ebayimg.com/images/g/0BQAAOSwe7ldDIfM/s-l1600.jpg,https://i.ebayimg.com/images/g/43UAAOSwzkRdDIfP/s-l1600.jpg,https://i.ebayimg.com/images/g/xjkAAOSwGN5dDIfT/s-l1600.jpg,https://i.ebayimg.com/images/g/dwIAAOSwPMpdDIfY/s-l1600.jpg",prim - rare vintage tschechoslowak,5.0,5.00,adno26,110
https://www.ebay.com/itm/PRIM-cal-68-4-rare-vintage-Tschechoslowakei-Uhren-vintage-watch-um-1960/352844278914?hash=item5227286c82%3Ag%3AkfEAAOSwI4VdCSG6&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/kfEAAOSwI4VdCSG6/s-l1600.jpg,https://i.ebayimg.com/images/g/5~0AAOSwfSJdCSG9/s-l1600.jpg,https://i.ebayimg.com/images/g/f~oAAOSwBA1dCSHF/s-l1600.jpg,https://i.ebayimg.com/images/g/LoQAAOSwFKtdCSHJ/s-l1600.jpg,https://i.ebayimg.com/images/g/82EAAOSwZnRdCSHM/s-l1600.jpg,https://i.ebayimg.com/images/g/VkwAAOSwMsZdCSHQ/s-l1600.jpg,https://i.ebayimg.com/images/g/8~wAAOSwlgJdCSHU/s-l1600.jpg",prim cal. 68 4 - rare vintage tschechoslowak,5.0,5.00,adno26,110
https://www.ebay.com/itm/Avia-Swissonic-Electronic-Watch-1970s-Good-Condition/143432899584?hash=item2165445c00%3Ag%3AAYQAAOSwcs9dwX8J&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/AYQAAOSwcs9dwX8J/s-l1600.jpg,https://i.ebayimg.com/images/g/bbcAAOSwC99dwX8N/s-l1600.jpg,https://i.ebayimg.com/images/g/Jg0AAOSwJAxdwX8Q/s-l1600.jpg,https://i.ebayimg.com/images/g/sVUAAOSwep1dwX8S/s-l1600.jpg,https://i.ebayimg.com/images/g/hagAAOSw6vBdwX8U/s-l1600.jpg,https://i.ebayimg.com/images/g/Sp0AAOSwW89dwX8X/s-l1600.jpg,https://i.ebayimg.com/images/g/ie0AAOSw1kxdwX8Z/s-l1600.jpg,https://i.ebayimg.com/images/g/RXMAAOSwFNBdwX8c/s-l1600.jpg,https://i.ebayimg.com/images/g/0bcAAOSwzCZdwX8e/s-l1600.jpg,https://i.ebayimg.com/images/g/RZEAAOSw0ThdwX8h/s-l1600.jpg",avia swissonic electronic watch 1970s good condition,50.0,12.00,svcap888,1239
https://www.ebay.com/itm/Lot-de-montres-X7-montres-diverses/174087004615?hash=item288864e1c7%3Ag%3AKSUAAOSwSoNdwXnZ&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/KSUAAOSwSoNdwXnZ/s-l1600.jpg,https://i.ebayimg.com/images/g/XvkAAOSwsjZdwXne/s-l1600.jpg,https://i.ebayimg.com/images/g/3wUAAOSw3F5dwXni/s-l1600.jpg,https://i.ebayimg.com/images/g/ePAAAOSwZTldwXnr/s-l1600.jpg,https://i.ebayimg.com/images/g/vngAAOSwNd5dwX2W/s-l1600.jpg,https://i.ebayimg.com/images/g/58EAAOSwveNdwXn5/s-l1600.jpg,https://i.ebayimg.com/images/g/H4MAAOSwd9hdwXwK/s-l1600.jpg,https://i.ebayimg.com/images/g/WnAAAOSw~9FdwXuU/s-l1600.jpg,https://i.ebayimg.com/images/g/z1UAAOSwNixdwX4S/s-l1600.jpg,https://i.ebayimg.com/images/g/skoAAOSwr3BdwXt9/s-l1600.jpg,https://i.ebayimg.com/images/g/BcgAAOSwC-5dwXuB/s-l1600.jpg,https://i.ebayimg.com/images/g/Q9gAAOSwNotdwX2K/s-l1600.jpg",lot de montres x7 montres diverses,10.0,15.50,mabrocanteweb,587
https://www.ebay.com/itm/gents-gruen-watch-co-25mm-movement-for-repair/113950679509?hash=item1a87fd61d5%3Ag%3AeEkAAOSw3RtbRb0L&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/eEkAAOSw3RtbRb0L/s-l1600.jpg,https://i.ebayimg.com/images/g/doMAAOSwlVJbRb0f/s-l1600.jpg",gents gruen watch co 25mm movement for repair ,0.99,10.00,peter.roberts383,1327
https://www.ebay.com/itm/Mens-Ellesse-Fashion-Watch-working-condition-fair-condition/153711853165?hash=item23c9f0be6d%3Ag%3AQiMAAOSwC6ldwX5s&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/QiMAAOSwC6ldwX5s/s-l1600.jpg,https://i.ebayimg.com/images/g/k8QAAOSwfBVdwX5u/s-l1600.jpg,https://i.ebayimg.com/images/g/n5cAAOSwnY1dwX5v/s-l1600.jpg,https://i.ebayimg.com/images/g/uWEAAOSwJ~hdwX5x/s-l1600.jpg"," mens ellesse fashion watch, working condition, fair condition ",50.0,23.13,johng2701,119
